,0,1,2,3,4,5,6,7
0,0.20268238,0.9640665,0.28260815,0.87346226,0.3843509,0.8351431,0.55828184,0.4720598
1,0.20188937,1.0121342,0.28975102,0.9332734,0.3184114,0.9287342,0.4234103,0.61151177
2,0.22845906,0.9701769,0.31490338,0.9094333,0.3817527,0.7934547,0.43560803,0.4931822
3,0.11858289,0.87169474,0.1414125,0.7536423,0.21204649,0.79451686,0.41595927,0.5776977
4,0.19632457,0.9667779,0.33453527,0.86927855,0.4132538,0.7786899,0.5038793,0.46136826
5,0.15818866,0.86373365,0.2950768,0.79833686,0.3544733,0.6758982,0.39248797,0.35100344
6,0.16042633,0.89573896,0.22162732,0.8171668,0.2507153,0.7688135,0.51956165,0.6192738
7,0.21570158,1.0042436,0.30091023,0.87177306,0.30543116,0.8922964,0.34771875,0.5816901
8,0.20877811,0.9658401,0.31130102,0.84652156,0.36238438,0.7714842,0.44569716,0.45895994
9,0.16047227,0.9946274,0.24764112,0.9127051,0.31654513,0.6957311,0.28673884,0.5448728
10,0.1916531,0.94046396,0.3024006,0.7787128,0.32336748,0.6704102,0.29834843,0.56005406
11,0.20286608,0.90734714,0.34483287,0.8080269,0.35656753,0.7592142,0.5307936,0.56650263
12,0.17291763,0.91368383,0.29378697,0.8090086,0.40281397,0.6253542,0.49148202,0.3804799
13,0.15622245,0.97986794,0.23039895,0.8823897,0.28462452,0.86649483,0.41141158,0.56820875
14,0.25591627,1.009659,0.3766458,0.9076983,0.48001105,0.8831126,0.63472754,0.5482268
15,0.11473773,0.9150385,0.18802682,0.8601907,0.24680509,0.73115176,0.3834093,0.41279158
16,0.1029939,0.899167,0.14482573,0.8153412,0.1894499,0.8178949,0.23969558,0.556986
17,0.1733387,0.9718587,0.2066058,0.8885184,0.2510751,0.87429076,0.40615717,0.56039804
18,0.19032396,0.9557792,0.28024328,0.90204245,0.35982177,0.7565756,0.50230813,0.566863
19,0.19052196,0.97144777,0.28011557,0.9027116,0.30505112,0.8897239,0.4174415,0.55661345
20,0.17392892,0.85822713,0.32855833,0.79639053,0.39090317,0.5870034,0.45551473,0.37171933
21,0.16496937,0.8957454,0.29364598,0.765189,0.33719876,0.6927224,0.38865444,0.49965033
22,0.11616838,0.818196,0.13318346,0.7175402,0.3038552,0.6154729,0.48671636,0.31285077
23,0.13756582,0.87323725,0.27211693,0.7954919,0.39926296,0.64732224,0.4264706,0.365364
24,0.17312656,0.9308066,0.24765262,0.91694695,0.32030216,0.71879256,0.38408464,0.4173241
25,0.18251975,0.932596,0.28706953,0.83653563,0.40465504,0.7661981,0.55836844,0.4489125
26,0.16286044,0.9030523,0.26547137,0.86619157,0.28277177,0.76494277,0.33719862,0.4451521
27,0.2786266,0.9312539,0.40947777,0.9565508,0.42879054,0.8348989,0.52624905,0.5976755
28,0.15235585,0.9324121,0.20065512,0.86945117,0.28412062,0.7284804,0.40094212,0.40515447
29,0.17346726,0.9026879,0.29978767,0.7658754,0.40086567,0.725118,0.454564,0.4065238
30,0.21568792,0.95028365,0.32461384,0.889912,0.4337277,0.6886815,0.531937,0.4377841
31,0.21325772,0.935144,0.330658,0.8908116,0.43181574,0.7444233,0.510794,0.42731896
