,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.13224296,0.75302243,0.49462608,0.39141318,0.542015,0.2274428,0.25539932,0.67930907,0.33452573,0.60577923,0.39422718,0.5287075,0.44504783,0.48392513
1,0.12179589,0.8033403,0.3480092,0.37420064,0.38577244,0.22421531,0.2286147,0.69643766,0.28113982,0.6146047,0.31040898,0.55411583,0.3228588,0.46728936
2,0.11453052,0.81829464,0.36900154,0.46492374,0.47551417,0.29436657,0.1987313,0.7663914,0.2522439,0.6989586,0.28843385,0.626839,0.31231627,0.536531
3,0.12133707,0.80475086,0.32923776,0.36725113,0.41392428,0.26307595,0.21187076,0.73499805,0.26740667,0.6378732,0.30758223,0.53736097,0.31951356,0.43837076
4,0.12791742,0.7105113,0.39957085,0.40112337,0.45240444,0.22757126,0.22767308,0.6125754,0.28505492,0.5541407,0.31435242,0.5408198,0.35813537,0.50279397
5,0.1335728,0.8205953,0.39600188,0.48594263,0.45479575,0.273251,0.22331414,0.7740877,0.27042788,0.71070206,0.30507287,0.6694294,0.34407446,0.6102424
6,0.12743136,0.7676542,0.45458415,0.34226534,0.4887611,0.19642779,0.23319636,0.6956908,0.30144185,0.62694,0.35132074,0.545423,0.4016195,0.46135774
7,0.09777212,0.8116202,0.44594002,0.38295335,0.523083,0.21554063,0.17939083,0.7068266,0.23975271,0.6380688,0.2975935,0.5918196,0.35550618,0.52391845
8,0.13295019,0.762875,0.47184458,0.3512096,0.50618315,0.2005928,0.25474307,0.67622745,0.32854488,0.6008933,0.37607715,0.5487194,0.4286718,0.4682391
9,0.12869081,0.7576941,0.3839992,0.42850423,0.4123297,0.24370131,0.23754705,0.69490314,0.3002375,0.64462584,0.3289816,0.6033683,0.3554171,0.5436675
10,0.14320779,0.7458242,0.44380113,0.31275296,0.4634452,0.20197888,0.27688885,0.62262255,0.35552847,0.530179,0.39517263,0.46428746,0.42378095,0.39570487
11,0.13151935,0.73105454,0.39942515,0.338176,0.45457205,0.21216351,0.24182329,0.62510294,0.29301858,0.5305512,0.31876215,0.45419422,0.3497899,0.409784
12,0.13760316,0.7692387,0.43350995,0.4437365,0.49861014,0.25176516,0.2616538,0.6959995,0.32386172,0.6444581,0.362155,0.59251136,0.38541096,0.5286287
13,0.15566635,0.79451317,0.3806729,0.5489474,0.4341462,0.3455745,0.2451823,0.75300395,0.28179526,0.69804066,0.31599215,0.67677134,0.3455741,0.63081056
14,0.15308669,0.777742,0.40408728,0.48423272,0.44013584,0.2837026,0.27605465,0.73071975,0.32503706,0.6966871,0.3490539,0.658177,0.36826685,0.59938985
15,0.12254749,0.8055374,0.4354774,0.434848,0.5083567,0.24180189,0.2161147,0.74544346,0.26398453,0.67266774,0.30198517,0.61296356,0.3584755,0.5559983
16,0.1414632,0.73205286,0.40666947,0.42506123,0.44947928,0.24606274,0.2508631,0.6797436,0.30874228,0.63058233,0.34585738,0.5733723,0.37167254,0.5150615
17,0.11978838,0.7611397,0.47551715,0.3354538,0.5342337,0.1779168,0.23580316,0.6763488,0.30929407,0.5925039,0.35889807,0.51508397,0.41711214,0.44811043
18,0.12563682,0.7899035,0.436838,0.44791514,0.4730848,0.2617147,0.23330103,0.7286346,0.28881702,0.68752134,0.32588768,0.6462941,0.37712872,0.57463896
