,0,1,2,3,4,5,6,7,8,9
0,0.12099273,0.8901746,0.1464773,0.7734989,0.26082963,0.76181465,0.3667066,0.5284176,0.4644539,0.2764672
1,0.18034697,0.95429194,0.28182027,0.8515618,0.35774884,0.7840284,0.4451005,0.66384226,0.5608486,0.394729
2,0.21938817,0.89375114,0.3379626,0.77407676,0.39298895,0.7103299,0.4487892,0.635674,0.47067836,0.40446994
3,0.17201231,0.89958155,0.24791037,0.7656454,0.3809249,0.76049364,0.49722952,0.6155227,0.550032,0.3453899
4,0.094720796,0.861163,0.1311966,0.7710911,0.16849597,0.7698762,0.23747286,0.74009556,0.32846436,0.39786997
5,0.20910902,0.9770769,0.25595647,0.8888134,0.31681883,0.8637154,0.41828907,0.80420816,0.485612,0.49547824
6,0.124045745,0.89280534,0.15190092,0.7813672,0.24090531,0.7727617,0.3533848,0.59229076,0.39455685,0.33080536
7,0.1420308,0.92972535,0.21056496,0.83002687,0.30239153,0.82682246,0.33585262,0.679316,0.3672376,0.39275435
8,0.15630105,0.9176165,0.23992738,0.8129382,0.32511947,0.77386224,0.46817148,0.6364608,0.54648983,0.38797948
9,0.24565919,1.0085264,0.31187913,0.9439592,0.33119294,0.916349,0.38840753,0.873201,0.461336,0.5133539
10,0.1684516,0.9673271,0.27507406,0.871024,0.3816737,0.8239772,0.49934345,0.744408,0.5879285,0.51227516
11,0.13057134,0.7981686,0.17403966,0.65984726,0.27555883,0.67446834,0.37179306,0.4760119,0.4236456,0.21565765
12,0.12932973,0.9194298,0.19094901,0.81287736,0.2561268,0.7925655,0.35443,0.71056026,0.42836294,0.42242748
13,0.21963972,0.9502203,0.3613639,0.84161836,0.48313648,0.72525066,0.57305545,0.46556506,0.63987243,0.3087959
14,0.13339531,0.9460209,0.16901667,0.84736836,0.21875438,0.84823215,0.3069985,0.8001424,0.39655855,0.46036667
15,0.19995466,0.97186095,0.29454288,0.88847214,0.34666646,0.87056434,0.42246792,0.76717937,0.5117026,0.40391284
16,0.16331482,0.9361521,0.23765548,0.85262674,0.3007535,0.8190536,0.45436263,0.6202282,0.5815408,0.38189286
17,0.15660267,0.9912699,0.2093604,0.9149013,0.2640022,0.8881605,0.3156593,0.8749346,0.36674568,0.5586376
18,0.20272382,0.9577006,0.31711018,0.8636524,0.36111376,0.8161008,0.42077792,0.69992614,0.49322152,0.3970905
19,0.15062079,0.904698,0.23566468,0.7860943,0.31523445,0.6882291,0.44619587,0.4843955,0.5289961,0.32585225
20,0.11263124,0.8549089,0.14315942,0.73990494,0.22720444,0.7570886,0.3406656,0.68468565,0.49070615,0.38703933
21,0.1330696,0.9433567,0.17687485,0.8260036,0.25264233,0.82744896,0.37751302,0.711644,0.46888497,0.36337474
22,0.1224925,0.9172635,0.16133347,0.79005677,0.2275801,0.80395085,0.2970407,0.7302778,0.40443933,0.40943667
23,0.1722351,0.94168645,0.26822966,0.8280142,0.36172366,0.81797117,0.4532113,0.77351993,0.50445503,0.48327887
24,0.15631959,0.9514712,0.25194204,0.84820884,0.2963626,0.77735466,0.29512444,0.56995785,0.4007164,0.41192922
25,0.1505644,0.95249647,0.22845055,0.849978,0.27649394,0.84544027,0.3122694,0.7848086,0.34992343,0.46297356
26,0.15917692,0.93909454,0.2446745,0.827185,0.3124003,0.80969566,0.38847417,0.72404116,0.46971253,0.42160502
27,0.16223988,0.92600995,0.2443064,0.78268516,0.2839651,0.8230577,0.3605279,0.7173823,0.5159979,0.33713004
28,0.15094131,0.92703354,0.15592983,0.8356133,0.19256458,0.82053685,0.2795379,0.77763504,0.3847682,0.43015918
29,0.13488168,0.8877728,0.22293057,0.7886911,0.30592734,0.72967106,0.38999042,0.59023404,0.45612887,0.34910223
30,0.26546854,1.001357,0.3473578,0.93575966,0.36883736,0.9122829,0.45486608,0.8480461,0.51797473,0.5386857
31,0.13168408,0.89172494,0.18670693,0.7786941,0.24342029,0.7912337,0.32691005,0.7802131,0.4932461,0.45457432
32,0.13944036,0.805959,0.20117289,0.67214906,0.26799,0.6662377,0.38288692,0.6040436,0.5172539,0.3242097
33,0.14057375,0.8875792,0.19033077,0.77401793,0.26720467,0.77720124,0.3979906,0.6833559,0.54294693,0.31956968
34,0.112988465,0.8881985,0.15135308,0.768021,0.21022901,0.803416,0.33359578,0.7300181,0.4198173,0.36166236
35,0.116410196,0.87415,0.16537608,0.7827366,0.29068562,0.76633215,0.36623505,0.58562773,0.40013683,0.34614798
