,0,1,2,3,4,5
0,0.2000567,0.95400566,0.3018772,0.89850247,0.38790917,0.56895816
1,0.2050645,0.92948085,0.35836425,0.77784437,0.50362456,0.49135548
2,0.12318662,0.87119836,0.24217081,0.6480137,0.33160198,0.35724387
3,0.20216353,0.9767056,0.32659006,0.8925015,0.4479623,0.597272
4,0.23002194,0.9219834,0.39145184,0.62128997,0.42324206,0.40279222
5,0.17147513,0.9855968,0.2269116,0.89479434,0.3516858,0.62762713
6,0.14653945,0.88890886,0.24540567,0.7040297,0.33539766,0.4514153
7,0.17428334,0.9669381,0.2726851,0.8627485,0.3786321,0.5694747
8,0.18059468,0.96396923,0.3082036,0.8675349,0.3110902,0.6185301
9,0.15834075,0.9148612,0.21933155,0.82057744,0.36484924,0.5825191
10,0.23633605,0.9418401,0.4571869,0.8127945,0.51062435,0.4454687
11,0.20903465,0.9771871,0.3112408,0.8312725,0.3918104,0.49763823
12,0.19376357,0.91037345,0.30897114,0.77077514,0.40748504,0.5196252
13,0.12814444,0.842892,0.16425897,0.7617169,0.28040913,0.58171815
14,0.20410195,0.93716335,0.32677913,0.8440217,0.3512227,0.60070884
15,0.19316025,0.94343454,0.3493579,0.8241833,0.5280202,0.5310363
16,0.17782427,0.9314607,0.30363125,0.8005326,0.4114356,0.5574745
17,0.17785816,0.94123495,0.28911597,0.772993,0.33235502,0.5422215
18,0.17132142,0.90255105,0.3401711,0.65729576,0.42271465,0.35439172
19,0.16447394,0.95619476,0.23070313,0.89999586,0.31594038,0.64966005
20,0.18638815,0.8708422,0.33419266,0.7681776,0.41228414,0.51111
21,0.22113357,0.9970752,0.33844602,0.8732802,0.4817328,0.58668584
22,0.20244081,0.95202404,0.3160251,0.8109366,0.38453478,0.478782
23,0.24394381,0.9962289,0.34110105,0.94070435,0.46874702,0.6328262
24,0.14031236,0.92651415,0.22343323,0.8230189,0.32785416,0.5098826
25,0.21789104,1.0159551,0.3388641,0.921862,0.4416891,0.58276737
26,0.251558,0.91166383,0.46954387,0.7825871,0.5352958,0.52404875
27,0.20839557,0.97216594,0.24212909,0.9506973,0.33770022,0.6971945
28,0.22672553,0.9229059,0.38934034,0.7712485,0.5211562,0.47513
29,0.16755061,0.9169843,0.2740115,0.74545497,0.33401868,0.5089178
30,0.1661356,0.9119051,0.27907622,0.8123939,0.35403162,0.485153
31,0.21299766,0.9962199,0.3301229,0.84471226,0.4176185,0.5352591
32,0.17193933,0.7836882,0.31956193,0.65856093,0.39748326,0.5387284
33,0.2146737,0.9862035,0.3630774,0.8609601,0.48140582,0.55302
34,0.22951667,1.0005451,0.3179229,0.92285806,0.3877498,0.61780334
35,0.16629048,0.93584853,0.27441877,0.7945539,0.3480511,0.53431064
36,0.17084022,0.94471556,0.2642689,0.84475344,0.33940503,0.5104471
37,0.23829752,0.994871,0.3628955,0.81248915,0.48934355,0.49856162
38,0.18119246,0.94633234,0.2703257,0.8642408,0.35089746,0.5625355
39,0.20874245,0.9407898,0.35000378,0.8254126,0.42794573,0.49299297
40,0.23127212,0.9814063,0.40403348,0.89476246,0.43552876,0.60933495
41,0.19799234,0.989073,0.28063112,0.92200327,0.36422947,0.6514559
42,0.14716062,0.90662175,0.28590545,0.7054611,0.3943798,0.46753922
43,0.17550528,0.9388117,0.22853203,0.88289225,0.3339434,0.75191134
44,0.19351912,0.93277043,0.28344986,0.8097013,0.46838516,0.48565412
45,0.17199363,0.840674,0.30087122,0.7547548,0.41728616,0.40782562
46,0.23687063,0.9415701,0.33302465,0.905549,0.39499074,0.5838359
47,0.19625385,0.94679224,0.32489255,0.892949,0.35797533,0.56801647
48,0.17299238,0.9212897,0.28046453,0.8339429,0.39137787,0.48298052
49,0.2077334,0.9705303,0.25250024,0.8956314,0.4528256,0.63327616
50,0.21952303,0.94495773,0.3845967,0.7555195,0.4992165,0.44174966
51,0.22805373,0.97586477,0.36568362,0.85198575,0.41955963,0.5167701
52,0.23661457,0.9252395,0.41125935,0.80856144,0.46377394,0.486677
53,0.19489925,1.001456,0.25406474,0.95213646,0.31630823,0.71409327
54,0.18038344,0.96296155,0.27031526,0.8741554,0.3186808,0.55251086
55,0.18983532,0.9978518,0.23676611,0.896547,0.3777247,0.6569712
56,0.3099922,0.8782972,0.4482803,0.7492471,0.5740497,0.48131222
57,0.17012404,0.9143494,0.3322415,0.81026775,0.463242,0.5653497
58,0.15365408,0.8956549,0.21961316,0.8165597,0.44269875,0.5278853
59,0.24458256,0.94361925,0.41540042,0.81921303,0.5033606,0.4848514
60,0.318831,0.988989,0.45666465,0.90110135,0.48997012,0.59193915
61,0.1683857,0.9763331,0.23930992,0.87988544,0.37066555,0.6623209
62,0.20388763,0.97006565,0.29930794,0.8296848,0.39189112,0.54803336
63,0.1680896,0.8290327,0.29517362,0.68088764,0.4768902,0.38605002
64,0.22624567,0.95462584,0.35967195,0.8443642,0.46731904,0.4883751
65,0.24763042,0.9833883,0.33976895,0.91041076,0.39862496,0.59097564
66,0.14793545,0.85104704,0.23893853,0.73934215,0.3557541,0.51067454
67,0.20781305,0.9615946,0.31772715,0.89973515,0.35791722,0.649661
68,0.17059481,0.90748644,0.2690552,0.6398137,0.3385248,0.3809822
69,0.17030942,0.93952894,0.28155398,0.8336569,0.41495943,0.5039697
70,0.20157495,0.92436016,0.33084968,0.89681774,0.4079846,0.65884894
71,0.15053467,0.8005989,0.20369966,0.6804546,0.37502936,0.5341364
72,0.15704587,0.9341718,0.2654126,0.8534422,0.30935684,0.5687057
73,0.2141908,0.8358385,0.26519507,0.722533,0.40000543,0.6171336
74,0.26763907,0.96171266,0.4120597,0.77280736,0.4668862,0.5162088
75,0.18213382,0.86266804,0.32583755,0.73984724,0.40489608,0.44422668
76,0.20370372,0.9604946,0.354076,0.7527696,0.38917655,0.45554495
77,0.2153586,0.9755302,0.354755,0.90628624,0.35382003,0.7166926
78,0.2518832,0.9575456,0.39430526,0.88587046,0.52212197,0.61262804
79,0.1764923,0.8434237,0.3187399,0.6987068,0.48313773,0.43575186
80,0.1807848,0.91952777,0.3457073,0.67404866,0.42733166,0.46589386
81,0.22926915,0.97898823,0.34948725,0.76790965,0.41463223,0.48093483
82,0.27365515,1.0011163,0.4106963,0.87716144,0.46921775,0.6076815
83,0.21370187,0.8842216,0.38239425,0.7256495,0.49984998,0.4674634
84,0.16875526,0.9475048,0.23094413,0.83655965,0.3585351,0.587714
85,0.23191251,0.9497728,0.3359696,0.73448515,0.45518497,0.47320813
86,0.22456427,0.9379537,0.4079839,0.7423724,0.5479611,0.45944315
87,0.13926409,0.93272984,0.2470373,0.6484009,0.29473612,0.47689056
88,0.18119194,0.94942623,0.29916665,0.8426805,0.44585136,0.5496831
89,0.21698038,0.98745245,0.26988333,0.89116865,0.45063972,0.6917222
90,0.17414628,0.9288587,0.2904532,0.8611978,0.3534835,0.5622042
91,0.20914467,0.9355005,0.32263452,0.8126111,0.44324228,0.5213898
92,0.21094017,0.91913325,0.36858454,0.8051068,0.50147164,0.52724224
93,0.185092,0.9150864,0.27802724,0.8328432,0.33080652,0.62978774
94,0.22209094,0.93006206,0.2741442,0.9242885,0.36033922,0.70329094
95,0.16505435,0.9176492,0.15789409,0.8445543,0.33149382,0.6023322
96,0.1706034,0.9411189,0.27598363,0.8624993,0.41897148,0.55188066
97,0.22166534,0.9011941,0.34404594,0.7221275,0.43585247,0.4205817
98,0.21228057,0.95501757,0.30621797,0.9058452,0.3832384,0.5965968
99,0.19386816,0.961932,0.29173246,0.8524471,0.43612763,0.51467305
