,0,1,2,3
0,-0.37001517,-0.9872904,-0.65922546,-0.67142636
1,-0.3964755,-1.0011568,-0.7217536,-0.69640833
2,-0.32142568,-0.96989596,-0.5531349,-0.61882937
3,-0.3253941,-0.9569968,-0.5659987,-0.5694831
4,-0.31143367,-0.9805501,-0.51411605,-0.7133313
5,-0.3438396,-0.97194123,-0.628769,-0.5579052
6,-0.41673368,-0.97427833,-0.68436027,-0.582983
7,-0.43522614,-0.9525918,-0.83580625,-0.565187
8,-0.41123638,-0.9410689,-0.7316804,-0.61392576
9,-0.5288842,-0.93031967,-0.96503145,-0.5897238
10,-0.30146155,-0.9256315,-0.63551605,-0.5615601
11,-0.38493535,-0.97994673,-0.65346885,-0.57166046
12,-0.26160005,-0.9376079,-0.4299453,-0.5346207
13,-0.46574223,-1.0069132,-0.77422816,-0.57558995
14,-0.38663244,-0.98107547,-0.64895767,-0.62052387
15,-0.3180696,-0.97456115,-0.5705047,-0.66811705
16,0.28732863,0.893106,0.59714645,0.5421889
17,-0.44344294,-0.8539034,-0.82387257,-0.44964445
18,-0.36663485,-0.975279,-0.5875551,-0.66439724
19,-0.322215,-0.9823555,-0.59915584,-0.6576805
20,-0.37606266,-1.0129135,-0.6379014,-0.69263387
21,-0.45613402,-0.7935707,-0.8158447,-0.45800006
22,-0.26655528,-0.9551905,-0.4553926,-0.5520612
23,-0.29019892,-0.95360035,-0.52651924,-0.65865594
24,-0.3976667,-0.97278416,-0.7514976,-0.52105856
25,-0.49423134,-0.8644822,-0.93232036,-0.48064598
26,-0.3398874,-1.0236819,-0.5683769,-0.7486827
27,-0.2989032,-0.9216146,-0.6526025,-0.5722748
28,-0.41781208,-1.034649,-0.7258756,-0.7020817
29,0.31422538,0.9678481,0.5138957,0.60376555
30,-0.3048423,-0.9565804,-0.54544073,-0.57838327
31,-0.29168302,-0.9577992,-0.53880507,-0.60739696
32,-0.28025678,-0.9441313,-0.43526584,-0.7457801
33,-0.31596652,-0.95972323,-0.57249606,-0.62012607
34,-0.37298623,-0.9540498,-0.6208734,-0.61008984
35,-0.3768009,-0.9125058,-0.708079,-0.45307544
36,-0.41216534,-0.90626025,-0.77130455,-0.5285778
37,-0.42993283,-0.92947716,-0.7738052,-0.50147885
38,-0.38319254,-0.9020631,-0.80068535,-0.47870243
39,-0.4464479,-0.9598959,-0.8338424,-0.5003167
40,-0.4315165,-1.0017724,-0.6806618,-0.62178725
41,-0.45589817,-0.99693185,-0.7902327,-0.6385157
42,-0.2703528,-0.9660214,-0.5075313,-0.69159317
43,-0.32591003,-0.9595323,-0.5751859,-0.6305637
