,0,1,2,3
0,-0.23010032,-0.95037013,-0.4380916,-0.55007833
1,-0.29400355,-1.0605022,-0.48947594,-0.7319407
2,-0.24334553,-0.95466864,-0.4212434,-0.50895673
3,-0.28819963,-1.1370153,-0.44978008,-0.7401824
4,-0.33303472,-0.88216937,-0.59166104,-0.50728875
5,-0.21528435,-0.8492442,-0.38504374,-0.5282204
6,-0.28753638,-1.0053945,-0.55044097,-0.5699911
7,-0.28906313,-1.0281072,-0.40172872,-0.6604866
8,-0.24534492,-0.91132164,-0.44399926,-0.55375534
9,-0.25203115,-1.0700066,-0.42432308,-0.64886117
10,-0.27690434,-0.9041875,-0.4969981,-0.47618404
11,-0.30746606,-0.96155554,-0.5240032,-0.6036809
12,-0.25809735,-0.9553965,-0.40755388,-0.6442519
13,-0.24025711,-1.0139958,-0.4442256,-0.6583453
14,-0.29005215,-1.1456374,-0.46971062,-0.7182281
15,-0.25870454,-1.0737478,-0.3704922,-0.7599322
16,-0.21382773,-0.8436511,-0.41646874,-0.5074934
17,-0.241862,-0.9085277,-0.42225108,-0.5475491
18,-0.22951362,-0.96192765,-0.40268892,-0.6447853
19,-0.27039754,-0.9576311,-0.49576554,-0.49674898
20,-0.25190488,-0.91048026,-0.48366827,-0.47485757
21,-0.24554509,-0.90122724,-0.40552106,-0.56003755
22,-0.2608761,-1.124855,-0.38605803,-0.70490146
23,-0.20736748,-0.8875601,-0.3463019,-0.51683795
24,-0.34998572,-1.127342,-0.54595715,-0.6660382
25,-0.32131323,-1.0229046,-0.53518534,-0.59671193
26,-0.21840043,-1.0926013,-0.35357377,-0.70665103
27,-0.21484822,-0.94543844,-0.39585778,-0.57348025
28,-0.282268,-1.0368501,-0.42713195,-0.6793948
29,-0.32373536,-1.0134989,-0.4899773,-0.67000186
30,-0.2870231,-0.90441656,-0.43806192,-0.5873579
31,-0.27973965,-0.943165,-0.53302354,-0.58036655
32,-0.2160293,-0.945825,-0.36458018,-0.6950808
33,-0.25152907,-0.9267728,-0.44221252,-0.5783574
34,-0.33400583,-0.8994388,-0.5429817,-0.5606231
35,-0.28966126,-1.0564378,-0.50411475,-0.68774664
36,-0.33326498,-1.1527996,-0.56012905,-0.7354449
37,-0.20210081,-0.9209995,-0.32473892,-0.54268074
38,-0.36826488,-0.95980984,-0.57857436,-0.6425676
39,-0.23945886,-0.92200106,-0.37331867,-0.5917914
40,-0.2779806,-1.0736346,-0.33920893,-0.8471312
41,-0.24564157,-0.82710904,-0.40269268,-0.65255797
42,-0.25160563,-0.9197868,-0.4884611,-0.553614
43,-0.29235348,-0.9645475,-0.4770527,-0.6011536
44,-0.26361558,-0.82782245,-0.43496403,-0.5575507
45,-0.26002643,-0.92444974,-0.45672068,-0.60604507
46,-0.23782763,-0.92002946,-0.46904606,-0.54006875
47,-0.24247906,-0.9320471,-0.3546463,-0.5946559
48,-0.27323526,-1.0802499,-0.4228473,-0.73740155
49,-0.31199205,-1.091097,-0.51964736,-0.75139546
