,0,1,2,3
0,-0.41041243,-0.97464967,-0.7466461,-0.6461474
1,-0.423859,-1.0123261,-0.74609584,-0.64474785
2,0.33057392,0.9817598,0.5798818,0.6083874
3,-0.38713512,-0.95588887,-0.7034821,-0.53699064
4,-0.3892081,-1.0001205,-0.7417259,-0.6639263
5,-0.43649024,-0.9282229,-0.7588279,-0.41897702
6,0.3471899,0.958692,0.6639475,0.68728477
7,0.30861235,0.91603583,0.52034116,0.45547354
8,-0.42055723,-0.92726785,-0.86160713,-0.52634835
9,0.2882928,0.9751349,0.5607225,0.64837813
10,-0.2957472,-0.9566338,-0.5155827,-0.6905984
11,-0.39205348,-0.9904187,-0.70327014,-0.5791525
12,-0.37010905,-0.9263105,-0.60847646,-0.58363545
13,-0.29915336,-0.989704,-0.46356553,-0.7424079
14,-0.35944328,-0.9883773,-0.6640665,-0.78096735
15,-0.43527818,-0.9920827,-0.8186996,-0.66843545
16,0.35626674,1.0221937,0.5980219,0.691614
17,-0.48905814,-0.9484186,-0.7646855,-0.54141206
18,-0.41294897,-0.9828649,-0.7812868,-0.7073107
19,-0.33279747,-0.9099712,-0.6760594,-0.5474211
20,-0.46508443,-0.8806363,-0.89214045,-0.49004528
21,0.32922578,0.9928128,0.5818839,0.5950141
22,-0.4012722,-1.0334412,-0.6412336,-0.72986627
23,-0.5070164,-1.0385506,-0.86705506,-0.9468566
24,-0.44820577,-0.94409543,-0.8158553,-0.6508276
25,-0.40580684,-0.8802617,-0.73430693,-0.56202805
26,-0.38558227,-0.9784719,-0.73658013,-0.77750707
27,-0.32172894,-1.0376996,-0.4787495,-0.80153275
28,-0.47679538,-1.0139796,-0.8980847,-0.833649
29,-0.351862,-0.9607857,-0.57092106,-0.746422
30,-0.33485195,-1.0053711,-0.5444704,-0.737922
31,0.34856611,0.8817487,0.8220909,0.5920248
32,-0.41525957,-0.9894319,-0.6984008,-0.55335665
33,-0.4348489,-1.0411005,-0.85429704,-0.76963836
34,0.35183862,0.9810386,0.55113566,0.57205755
35,-0.6359397,-0.80744064,-0.9768849,-0.6220869
36,-0.3657018,-0.9985512,-0.5822754,-0.6079244
37,-0.39303842,-0.97026885,-0.58828706,-0.70243406
38,0.2320483,0.9203193,0.39876795,0.643218
39,0.28705513,0.8922292,0.47594067,0.47014993
40,-0.46227437,-0.8626535,-0.8128344,-0.43932456
41,0.2776881,0.94848955,0.50014436,0.5129058
42,-0.2737656,-0.9216438,-0.39983207,-0.75741744
43,-0.4011058,-1.0202804,-0.67662865,-0.7424638
44,-0.4682415,-0.9063143,-0.90715134,-0.4579488
45,-0.38736358,-0.99192023,-0.83555007,-0.5576044
46,-0.37858126,-0.9914636,-0.68741846,-0.6605454
47,-0.48823002,-1.0565969,-0.6964526,-0.7326681
48,-0.30233148,-1.0161084,-0.5612941,-0.7638194
49,-0.46494463,-1.0544003,-0.69606656,-0.7310373
50,-0.47173586,-1.0315561,-0.83282286,-0.7220704
51,-0.3966404,-1.0260683,-0.68073976,-0.64871234
52,0.38845167,0.9573538,0.78280455,0.5159061
53,-0.3184312,-0.92232424,-0.55192196,-0.61004704
54,-0.47097832,-1.0151137,-0.8131572,-0.6590336
55,-0.37455708,-0.9918229,-0.63944274,-0.614984
56,0.28077036,0.9992342,0.50881296,0.7101526
57,-0.42367104,-0.97628015,-0.8526311,-0.62053764
58,-0.4123524,-0.88924724,-0.7179367,-0.47497755
59,-0.48475942,-0.8960069,-0.8551342,-0.53886855
60,-0.32397407,-1.0238888,-0.52296644,-0.80004793
61,-0.46627086,-0.99903435,-0.8621842,-0.70305246
62,-0.34888816,-1.0069952,-0.60778654,-0.8098428
63,-0.59365,-1.0876304,-0.9140385,-0.79269284
64,-0.51463485,-0.98268443,-0.82050294,-0.5774274
65,-0.31242913,-0.9140035,-0.5460203,-0.5724526
66,-0.5296319,-1.0234156,-0.7859265,-0.66885346
67,-0.41662312,-1.0079843,-0.77472174,-0.6941615
68,-0.3721442,-0.9676579,-0.64290076,-0.63301224
69,-0.473846,-0.8897397,-0.7511618,-0.54818255
70,-0.35621148,-1.0239751,-0.51666987,-0.7204023
71,-0.34330624,-0.98480135,-0.652393,-0.62807435
72,-0.40506354,-1.0007566,-0.66129494,-0.6376087
73,-0.38922736,-0.9929441,-0.6690814,-0.5893584
74,0.32651296,0.9961955,0.48154423,0.7891243
75,0.2862094,0.8648782,0.55283034,0.3895447
76,-0.39256856,-0.91855055,-0.7689783,-0.49375454
77,0.40844518,0.9683912,0.77869123,0.5268123
78,0.32133523,0.93065745,0.5524969,0.583307
79,-0.44849402,-1.0161738,-0.8090802,-0.62952995
80,-0.3117733,-0.9219181,-0.53003955,-0.5363731
81,-0.56985503,-0.872699,-0.9862762,-0.45916814
82,0.2461385,0.93417484,0.44552642,0.6766028
83,-0.5244978,-1.0200119,-0.89004225,-0.6210226
84,-0.36902055,-1.0136958,-0.69398665,-0.65194887
85,-0.37360972,-0.9210092,-0.6662457,-0.48500213
86,0.3752927,0.9874324,0.54550076,0.5769251
87,-0.34852552,-0.9596213,-0.60644656,-0.60405856
88,-0.5218829,-1.0301923,-0.82509243,-0.611467
89,-0.41133827,-0.99575174,-0.7708856,-0.64080995
90,0.29870573,1.0043169,0.52033246,0.79444844
91,-0.37915385,-0.98830855,-0.6389659,-0.6045948
92,-0.49511373,-1.0389719,-0.9330513,-0.6926008
93,-0.34575298,-1.0191035,-0.59050566,-0.7708423
94,-0.2978666,-0.84818995,-0.7015809,-0.6588466
95,-0.38257855,-0.9395039,-0.778591,-0.6171446
96,-0.48688057,-1.0795105,-0.652854,-0.75674564
97,-0.3165899,-0.9177601,-0.5739398,-0.49578094
98,-0.5600404,-1.0586473,-0.86126107,-0.6928502
99,-0.49909523,-1.0440683,-0.89421207,-0.7151411
