,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.1344092,0.7065144,0.3527837,0.42666748,0.44855008,0.2621998,0.14268579,0.5509977,0.18204106,0.52245504,0.23908208,0.4875455,0.22477756,0.46709436
1,0.18529864,0.7916338,0.48216164,0.43041497,0.6338495,0.2901082,0.16996367,0.5929256,0.23518287,0.558886,0.2789675,0.51087433,0.32973716,0.46846178
2,0.1131778,0.7373697,0.31345716,0.4899902,0.48679003,0.3282565,0.10138395,0.5928818,0.1696115,0.56797403,0.1662764,0.5470548,0.27601257,0.48346776
3,0.1288115,0.7850305,0.33308658,0.45854247,0.34786215,0.29723126,0.13018544,0.62475365,0.1688969,0.62582535,0.18880744,0.57710904,0.2322058,0.59216714
4,0.14790249,0.8097009,0.37448797,0.48661014,0.51572794,0.31563675,0.1555932,0.6152541,0.22022514,0.6025271,0.23094869,0.55205166,0.25539213,0.5125489
5,0.112784915,0.75146955,0.31624404,0.5329081,0.40399164,0.33370298,0.11443618,0.6053273,0.15564513,0.59196883,0.18813102,0.5606897,0.22770968,0.52083784
6,0.14368,0.76013666,0.27550912,0.4893636,0.458368,0.3541839,0.11182815,0.5997169,0.16243082,0.5623491,0.17718343,0.52363706,0.25174126,0.49336985
7,0.17768094,0.9280428,0.440885,0.55569446,0.5436367,0.32719266,0.23732942,0.7438016,0.24995713,0.7009867,0.26749903,0.6452475,0.29927447,0.62230396
8,0.11167023,0.81144524,0.3112473,0.55275124,0.4371148,0.36236328,0.13805397,0.65477866,0.15374896,0.6656941,0.18088259,0.59859484,0.19998857,0.6026037
9,0.15941517,0.87323403,0.42722094,0.53359014,0.43955782,0.3307923,0.16064355,0.6891714,0.18769433,0.67068434,0.24610426,0.63308775,0.32987142,0.5974888
